,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Date
0,Data/ ETL Analyst,$43K-$74K (Glassdoor est.),"ETL EXPERIENCE REQUIRED!

Summary:

The Phia Group is comprised of The Phia Group, LLC and Phia Group Consulting, LLC (“PGC”), and is a service-oriented organization assisting employee health plans nationwide. We provide our clients with innovative cost-cutting solutions and constantly expanding service offerings. We continue to enjoy growth thanks to our most valuable resource – our talented and committed team.

The Data Analyst will be an integral cog in the life cycle of the claims data process. The Data Analyst will develop and maintain ETL Maps using Altova Mapforce, assist in preserving the quality and integrity of the enterprise data, collaborate with internal business users to triage data anomalies and coordinate with external clients to resolve any data quandaries. The Data Analyst must analyze data and find data discrepancies using business rules.

Essential Duties and Responsibilitiesinclude the following. Other duties may be assigned.

·Develop ETL Maps in Altova for imports of client claim data

·Database and ETL performance tuning

·Design, implement and understand Dimensional Models and query tools

·Design and development of relational database management objects (tables, schemas, indexes, materialized views, partitions, stored procedures, macros, etc.) , database design principles, data administration standards, and information security terminology

·Ability to solve complex technical problems, assimilate information rapidly, and work under time constraints

·Strong SQL capability for identifying and resolving data related issues

·Responsible for gathering and assessing business information needs and preparing requirements, driving requirements through to implementation

·Lead source system analysis and design, help to design and develop data loading processes

·Knowledge of claims or healthcare related data structures and entities

·Help implement best practices and robust ETL solutions, create various ETL jobs based on EDW environment Architecture and Data Models that got created

·Ensure Data Quality and Data Integrity is maintained

·Understand our data sources, current data environment, collaborate with BI team and business Subject Matter Experts (SMEs) to understand immediate and upcoming data needs

·Serves as SME in data modeling concepts (star schema, snowflake schemas, normalized& de-normalized data models) to help build EDW, ODS and Data Marts

·Develops processes for capturing and maintaining metadata

·Experience with 837 and 835 EDI Health Care claims files

·Performs other duties as assigned.

Experience and Qualifications

·Must have good understanding of Microsoft SQL Server 2012 and 2016

·Proficient in writing SQL queries and understanding data modals

·Strong analytical approach to problem solving.

·Must have experience in of the ETL tools preferably Altova Mapforce, Talend or Informatica

·Experience implementing API solutions in the healthcare industry

·Knowledge of claims or healthcare related data structures and entities is desirable

·Basic knowledge of software coding, concepts or HTML would be a plus.

·Excellent communication skills and customer service skills

·Good Team player with the ability to work well with others

·Bachelor’s degree or Associates degree in computer science or related field preferred

·Minimum 2-4 years experience.

·Ability to read, write and speak the English Language

·Must have ability to define problems, collect data, establish facts, and draw valid conclusions",3.4,The Phia Group,"Braintree, MA","Braintree, MA",51 to 200 employees,1999,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),2020-01-24
1,Sales Data Analyst,-1,"Summary:

To be part of a fast growing company and Sales organization that utilizes business data to manage and make decisions across the organization. This role will help build and institute the reporting and data standards for Sales. Work closely with Sales leadership and Sales Operations to utilize data from corporate systems and other data sources to analyze performance and help drive future direction.

Experience:

· University degree – ideally 2-4 years of experience, MBA or similar and financial/sales data reporting background.

· CRM (MS Dynamics or SFDC) and advanced Excel capabilities is required.

Role Summary

· Build and institute the reporting and data standards.

· Create standardized and customized reports to analyze quantitative data, sales pipeline opportunities and new business forecasts.

· Support CRM requests using MS Dynamics, creating and delivering advanced report templates, support sales enablement requests and working with the development team to define functional improvements/system enhancements.

· Prepare executive sales reports for weekly sales business reviews.

· Develop advanced data analysis on pipeline and customer data to identify sales trends and performance gaps.

· Perform advanced Excel operations to join data from multiple sources using pivots, vlookups and other formula functions to create data reports.

· Work with Data Scientists to develop forward looking analysis on products and territories.

· Partner with global sales operations team in India to coordinate reporting activities and programs

· Work with Head of Sales Ops on optimizing the analysis of the data from the sales teams from renewals and new sales activity.

· Support and perform system User Acceptance Testing (UAT) as required by the Supply Chain team",-1,6 Hour Hire,"Chelmsford, MA","Chelmsford, MA",Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,2020-01-24
2,Business Data Reporting Analyst,$53K-$110K (Glassdoor est.),"We enjoy the important work we do every day on behalf of our members.

Job Summary

As a leader in health care Tufts has shifted into the Next Generation of Business Intelligence. This role will be key to the evolution to provide excellent health care to the masses. As one of the only 5 Star rated plans in Massachusetts, we are adding to our team of high performers, This multifaceted position allows the individual to participate in all aspects of analytics including extraction, transforming, and loading and visualizing data. Analytics projects support the goal of providing a value based product that is competitively priced and increases the quality of care provided to our members. Workload focus includes data wrangling, data shaping and data loading to support sales and marketing trend analysis, forecasting, goal setting. The individual will meet these needs through the use of various software packages including Excel, Access, SQL, Alteryx and Tableau. The use of other specialty software is also required. Day-to-day work is a combination of new projects, maintaining existing projects, and standard reporting. This role will work closely with a variety of THP departments including Sales, Marketing, Product and Strategy.

Job Description

KEY RESPONSIBILITIES/ESSENTIAL FUNCTIONS*

Work with large amounts of raw data to cleanse and transform data into clean, useable data working with tools such as Access, SQL, and Alteryx. A keen understanding is required to excel in this role.

Evaluate and analyze healthcare sales and marketing data; use Excel and other business intelligence tools such as SQL, Access, Tableau or Microstrategy to design and develop reports by extracting, shaping and loading data from various well-defined sources

Identify, analyze, and interpret trends or patterns in complex data sets identifying return on investment

Communicate complex ideas via dashboards and reporting visualizations to Sales and Marketing teams

Review numbers, trends, and data to discover actionable conclusions based on findings

Work and collaborate within a high performing team of 4 Analysts on state of the art NextGen reporting tools

Work with CRM system (Salesforce, Siebel OD, etc.) as key source of sales and marketing data.

Ensure that all reports and analyses are accurate, complete, and produced within required timeframes. Support continuous improvement through iterative processes by being proactive to reduce ad hoc requests.

Requirements

JOB QUALIFICATIONS: KNOWLEDGE/SKILLS/ABILITIES

EDUCATION:BS in Mathematics, Computer Science, Information Management, Statistics or the equivalent.

EXPERIENCE:3-5 years relevant experience in an analytics group

SKILL REQUIREMENTS:
Effective ETL (Extract/Transform/Load), data shaping and data wrangling skills are critical to success in this role. Knowledge of tools such as Alteryx, SQL or Access are preferred.
Effective BI and Analytic skills are critical to company growth as we move forward with our next gen performance optimization deployment.
Seeking a candidate with excellent communication skills to attend stakeholder meetings and present findings as required.
Should work well within a team environment and be highly motivated and self -directed.
Mathematical problem solving, statistical, and analytical skills are required.
Exceptional knowledge of Microsoft Excel, Access and SQL are required.
Proficiency in the use of personal computers, , relational databases or statistical packages. Able to shape, transform and wrangle large data sets for maximum analysis across disparate data sources. Tableau or Microstrategy experience is a plus.
Must have strong relationship building skills to channel issues effectively toward resolution.
Knowledge and experience about different types of joins and data blending techniques as well as and Database structure is required. .
Experience working with CRM systems is a plus.
Well-developed verbal and written skills
Ability to think critically in a fast paced environment.
Developing presentation skills, presents mostly within department and to project teams
Able to operate in a matrix environment
Able to implement analytic department standards and processes.
Receives regular management oversight of selected tasks, projects and processes
Increasingly applies own judgment to analytical/technical issues
Must be able to work cooperatively as a team member. Regular interface with various levels of staff and management is required as well.
WORKING CONDITIONS AND ADDITIONAL REQUIREMENTS:Fast paced office environment handling multiple demands. Exercise appropriate judgment as needed. Normal office conditions.
Fast paced office environment. Works on personal computer approximately 70% of the time. Must be able to exercise appropriate judgment, as necessary. Open cubicle work setting with personal computer.
CONFIDENTIAL DATA:All information (written, verbal, electronic, etc.) that an employee encounters while working at Tufts Health Plan is considered confidential. Exposed to and required to deal with highly confidential and sensitive material and must adhere to corporate compliance policy, department guidelines/policies and all applicable laws and regulations at all times.
*Essential functions occur simultaneously, therefore, the employee must be able to appropriately handle each essential function, prioritize them and seek assistance when necessary. These functions need to be performed on a consistent and regular basis, using good judgment. Ability to learn and apply company policies consistently, seeking out guidance when necessary, is required.

THIS DESCRIPTION IS NOT INTENDED TO BE A COMPLETE STATEMENT OF JOB CONTENT; RATHER IT ACTS AS A GUIDE TO THE ESSENTIAL FUNCTIONS PERFORMED. MANAGEMENT RETAINS THE DISCRETION TO ADD TO OR CHANGE THE DUTIES OF THE POSITION AT ANY TIME.

What we build together changes our customer's health for the better. We are looking for talented and innovative people to join our team. Come join us!",3.9,Tufts Health Plan,"Watertown, MA","Watertown, MA",1001 to 5000 employees,1979,Nonprofit Organization,Insurance Carriers,Insurance,$2 to $5 billion (USD),2020-01-24
3,Data Analyst,$48K-$91K (Glassdoor est.),"Imagine the future you could help us build.

Teamwork, not just tech work. We are tech futurists and business geniuses. Together, we solve problems to make daily life easier. We are looking for a few more great minds to join our team as we continue to grow one of the world's leading consumer robot companies.

Together, we empower people to do more.

Introduction

iRobot is seeking a User Test Data Analyst to play an important role on New Product Development Teams to make better, more robust robots that delight the customer.

User testing provides insights to customer needs, preferences as well as validates prototype robot and/or new software features.

As an analyst on our team, we’ll expect you to have a strong background in applying probability and statistics to real data, as well as defining a problem and evaluating the effectiveness of different techniques in solving these problems.

Essential functions include:
Analyze robot usage and mission reports via cloud data and/or robot logs
Solid understanding of quantitative statistics and being able to communicate complicated test results to a broad audience
Create effective interactive dashboards to help visualize robot’s performance
Detect data anomalies and investigate root cause
Cross-reference Centercode user’s feedback with robot data logs and cloud data
Ability to perform process automation to analyze robot logs (utilizing python and/or shell scripting)
Report bugs/issues in Jira and attach relevant sections robot logs
The individual in this role work as part of the User Test Team within Systems Engineering and will work closely with other engineering disciplines (Software Engineering, Test Engineering, Systems Engineering) as well as Chief Engineers, Product Managers and User Experience leads. The successful candidate will have experience or capability to quickly learn all aspects of user-facing alpha testing.

Skills Required:
Strong problem solving and analytical skills
Experience creating SQL queries to find meaningful data from the robots
Experience using Python to help automate analysis for ongoing projects and creation of interactive dashboards
Demonstrated ability to take ownership of task execution and work with minimal supervision
Adept at gathering detailed field data from abstract inquiry
Experience in statistical analysis of test results
Adept at summarizing and presenting complex test data
Clear and concise written and verbal communication
Direct experience interacting with customers and resolving issues.
Experience with Linux and Windows Operating Systems, including writing terminal command lines
Experience with product defect tracking tools, including Jira
Desired Qualifications:
2-3 years of work experience in related field
Experience using Mode Analytics and Jupyter Notebooks
Experience with Centercode Alpha/Beta Test Management Solutions
Experience with Survey Monkey or equivalent tool
Experience in software test
Experience troubleshooting complex electromechanical systems
Experience testing consumer vacuum and/or robotic products.
Experience with data acquisition as well as processing and analysis software.
Education:

Bachelor Degree in related field",4.4,iRobot,"Bedford, MA","Bedford, MA",1001 to 5000 employees,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),2020-01-24
4,Data Analyst,$58K-$98K (Glassdoor est.),"Join the Product Development Team of a high growth Population Health and Analytics software company. This is an opportunity to join a talented team of Product experts, use a vast healthcare data asset to design and develop the products of the future. This is a hands-on position designing and promoting the next wave of advanced healthcare analytics products with a great team of product managers and software engineers.

Responsibilities:
Support the design and development of an industry-leading healthcare analytics and data warehousing product
Interact with and support our engineering team, responding to requests and qualifying features or development questions
Support sales and marketing in the growth and visibility of these new products in a fast-moving healthcare analytics market
Investigate possible future products and/or support the R&D projects of one or more Product Managers

Qualifications:
Bachelors in Hard Sciences, Mathematics, CS, Software Engineering, Data Science or Economics
2-5 years in data analytics
Highly proficient in SQL to support data analysis
Experience with other analytics tools/frameworks such as R, SAS, Python
Ability to code in languages such as Python, Java and/or Scala
Fast learner
Preferred Experience:
Experience in healthcare, specifically population analytics
Background machine learning, graph/network analysis and/or statistics preferred
Experience in visualization and reporting frameworks like Tableau, Qlik, PowerBI
Understanding of JavaScript, css, HTML5, GGPLOT and/or D3 preferred
Experience working with a product or product management team a plus
Experience with ACOs and/or Value Based Care a plus
This position is responsible for following all Security policies and procedures in order to protect all PHI under Arcadia's custodianship as well as Arcadia Intellectual Properties. For any security-specific roles, the responsibilities would be further defined by the hiring manager.",3.9,Arcadia.io,"Burlington, MA","Burlington, MA",201 to 500 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),2020-01-24
5,Data Solutions Analyst,$63K-$121K (Glassdoor est.),"We are looking for a Data Solution Analyst to join the National Insurance (NI) Analytics team to develop business intelligence solutions that deliver deep insights to support strategic decision making.

About the role:

This role is an important part of NI Analytics mission to deliver insights to our stakeholders using visualized data and dynamic dashboards. In this position, you will collaborate with business stakeholders to understand their information needs, partner with technology teams to solve data delivery issues, and be part of a team to develop best in class business intelligence solutions.

Responsibilities:

Develop and maintain solutions that leverage Best-in-Class intelligence design capabilities.
Assists in the design and development data solutions that enable effective self-service data consumption.
Improve accessibility to data via data aggregation and effective visualization
Develop re-usable tools and assets to support automation, reporting and analytics initiatives
Produce accurate, consistent and timely visualizations by extracting information from various applications and systems, manipulating data and leveraging business intelligence tools to develop user-friendly outputs
Effectively source data into business intelligence tools to enable visualizations
Automate existing reporting and establish business intelligence best practices
Establish detailed documentation for all visualizations and technical solutions
Identify reporting and data processes that are inefficient and drive change that will lead to measurable gains in data quality and processing time
Work in partnership with other groups to develop automated visualizations in the most effective medium
Provide communication to stakeholders, including providing customer support for existing tools (ex: issues, questions, enhancements)
Qualifications:

1-2 years experience in coding for data management, data warehousing, or other data environments.
Bachelor's Degree in computer science, Computer Engineering, or related discipline preferred.
Knowledge of data architecture concepts, querying and data sourcing.
Knowledge of SAS, MicroStrategy, Tableau, or PowerBI preferred.
Highly developed negotiating, consensus building, facilitation skills
Ability to effectively collaborate with all levels of the organization and work both as a member of a team and independently as required.
Effective analytical/problem solving and research skills.
Ability to manage tasks/projects with aggressive deadlines/time-sensitivity

Benefits:
We value your hard work, integrity and commitment to positive change. In return for your service, it's our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits

Overview:

At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.

We're dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.",3.3,Liberty Mutual Insurance,"Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),2020-01-24
6,Data Solutions Analyst,$49K-$92K (Glassdoor est.),"At some point you’ve probably attended or scheduled a meeting -- maybe it was in a room, on video or over the phone -- then your meeting room gets stolen, you don't have the right resources, or you can't find where you need to be. Finding space and time to communicate can be painful. The problem is easy to understand but difficult to solve. That's where Robin comes in. We build software that coordinates meeting spaces, people and things in your workplace so you can get back to doing your best work.

Based in Boston, the DNA of our eclectic team shapes our culture in a way that means we can show up to work as our whole selves. Our values guide the way we treat our customers, our coworkers, and our candidates. We are intentional with our words and actions. We’re helpful. And at the end of the day, we're all united by the mission of modernizing the open office so that businesses (like HubSpot, Twitter, Bumble and Kayak) are more enjoyable places to walk into each day, including our own.

We are looking for a Data Analyst to partner with engineering and product to support the development of customer-facing workplace analytics. If you consider yourself smart, have a drive for results, proven track record and are not shy to challenge the status quo -- we want you!
Work you’ll be responsible for:
Query databases (Postgres/MySQL) to gather large amounts of complex calendar data. Identify trends, patterns, gaps and insights using descriptive analytics and data visualizations to further business insights.
Leverage best in class analytical programming tools, such as Jupyter notebooks, and create well documented and repeatable analytical processes.
Perform complex ad-hoc analyses in Excel to solve important business problems and formulate robust, actionable recommendations for leadership that support the product team in creating a data-driven company.
Contribute to the development of data strategy tools such as a data dictionary and assist with the creation of team onboarding materials.

You are:
Analytical. You’re passionate about using and understanding data to problem-solve.
Collaborative. You enjoy partnering with various teams to drive analytics on business trends through multiple systems. You are able clearly distill the essence of your technical work to audiences of all levels and across multiple functional areas.
Adaptable. You are able to work on multiple projects, meet deadlines and love a fast-paced environment.
Curiosity: You’re driven to learn the latest and greatest of an industry. You enjoy problem-solving and know-how to ask strategic questions rather than just talking about implementation details.
Articulate. You are able to communicate and simplify complex data into sensible business solutions. Experience articulating product questions and using statistics to arrive at an answer.
Experience you already have:
2-4 years of experience on a data or analytics team
Knowledge and experience applying statistical techniques to real business data
A Bachelors degree in a quantitative field such as Statistics, Computer Science, Engineering, Mathematics, Data Sciences or equivalent experience
2 or more years of experience working with Microsoft Excel
2 or more years of experience working with Python (preferable) / R
Competency with relational databases, writing SQL scripts and working with large sets of data
Familiar with Git
Plus if you are interested in learning Go or Java
We’re creating the smart office of the future. We’d love to have you be a part of it.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We are ADA compliant and handicap accessible.",4.8,Liberty Mutual Insurance,"Boston, MA","Boston, MA",51 to 200 employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,2020-01-24
7,Entry Level Data Analyst,$42K-$75K (Glassdoor est.),"Entry Level Analyst | Cambridge, MA, United States

Sick of those 'entry level jobs' that require 1-2 years experience? If you have an analytical and quantitative mindset, and are looking to apply that to solving interesting problems everyday - Please Apply!

Our analyst team gets to work on all aspects of our business, from optimizing user experience on the site to monetization in order to help grow our reach as a media company. We work with MySQL, Python, R, Excel, and more, though no prior knowledge of programming is required.
We're looking for analytical thinkers interested in scaling our business and using big data to give our users the best experience across our platform.

Come help us solve cool problems and grow the startup!

What we're looking for:

B.A./B.S. in Mathematics, Statistics, Physics, or another quantitative field
Ability to plan out a process and execute on it on a daily basis with an emphasis on achieving and measuring results
Demonstrated ability to learn quickly
General understanding of market segmentation, sizing and statistics
Experience with or desire to learn R, mySQL, Python, and more

Bonus points if you have:

Experience with email marketing (and SEM, SEO, display)
Experience with online advertising / marketing growth metrics

Things You'll Like About HopJump:
We value and encourage creative thinking & intellectual curiosity.
You'll have a very clear understanding of how your work matters to the company.
You'll find interesting new challenges every day on the forefront of online marketing.
You'll be given the responsibility to have a big impact on and opportunities for leadership within our business from early on.
You'll be part of a passionate team with broad skills and interests.
We have fun! Frequent company outings, lunches, and parties.
We offer competitive salaries, excellent benefits, and a relaxed work environment with plenty of perks.",4.8,Hopjump,"Boston, MA","Cambridge, MA",1 to 50 employees,2012,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,2020-01-24
8,Data Analyst,$38K-$74K (Glassdoor est.),"TechTarget is seeking a Data Analyst to join its Data Analytics team. The person coming into this role will work on both reporting and analytics initiatives. They will build out and maintain reports for the business related to email marketing and branding, web traffic, purchase intent and account based marketing and work to ensure the overall integrity of the data going into the reports. They will also proactively work to identify opportunities to automate and streamline regular requests and report production and collaborate with other Analysts on the team to provide strategic analysis for business stakeholders and assist with data work related to implementation of advanced analytics to optimize business processes.
Essential Job Functions:
Create dashboards, scorecards, and reports in Tableau and GoodData.
Provide standard and custom data analysis to core business stakeholders
Work with other members of the team on report automation and the overall data plan to support future reporting needs.
Provide new user training and documentation of standard reporting and day-to-day support for the reports the team is responsible for.
Develop in-depth knowledge of TechTarget’s products/services
Knowledge, skills and abilities required:
Bachelor’s Degree in Mathematics, Computer Science, Business Intelligence, or related;
1-2 years’ work experience in analytics and reporting;
Demonstrated ability to analyze and communicate findings in non-technical terms;
Understanding and experience with SQL and relational databases.
Experience in Oracle SQL and PL/SQL a plus.
Strong interest in developing skills in the field of business intelligence, machine learning and advanced analytics
Innovative, curious, with strong problem solving skills.
Ability to quickly grasp technical concepts.
Python and data science experience preferred.
TechTarget, Inc. is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws. TechTarget strictly prohibits and does not tolerate discrimination against employees, applicants, or any other covered persons because of race, color, sex (including pregnancy), age, national origin or ancestry, ethnicity, religion, creed, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, training, promotion, discipline, compensation, benefits, and termination of employment. TechTarget complies with the Americans with Disabilities Act (ADA), as amended by the ADA Amendments Act, and all applicable state or local law.",3.9,TechTarget,"Newton, MA","Auburndale, MA",501 to 1000 employees,1999,Company - Public,Internet,Information Technology,$100 to $500 million (USD),2020-01-24
9,"Analyst I/II, Data Science",$62K-$104K (Glassdoor est.),"The Product Design and Modeling team has an opening for a Data Science IC position that will drive pricing and non-pricing sophistication in the US Design team and will act as a technical and subject matter expert for US modeling. The Individual Contributor role will report to one of the Auto or Property/Specialty Design Managers but also have opportunities to work on projects across personal and business lines as well as globally in partnership with the East & West Design team.

Responsibilities:
Build GLM loss cost models using Emblem across Auto or Property/Specialty products, as well as adjacent products (e.g. Business Lines, East/West products, New Product initiatives)
Build complex non-pricing models (e.g., models to identify customers for non-renewal)
Explore and utilize advanced modeling techniques (e.g., machine learning techniques and Elastic Nets)
Work with massive amounts of data to build sophisticated models
Collaborate with Delivery, State, and other teams to help implement new pricing programs, including supporting material and responding to DOI objections
Act as a mentor and help develop less experienced analysts on the team

Qualifications:
Analyst I: Bachelors w/ 3+ years relevant experience; Masters w/ 0-1 years relevant experience
Analyst II: Bachelors w/ 4+ years, Masters w/ 2+ years, or Ph. D with 0-1 years of relevant experience
Advanced degree in quantitative field or actuarial credentials preferred.
Experience with predictive modeling and statistical software packages (e.g., SAS, Emblem, Python/R) highly desired.
Sound knowledge of actuarial techniques and standards, as well as other business operations including Financial, Underwriting, Legal, Statistics, Claims, Sales departments.
High-level knowledge of data sources, tools, and the business (lines, systems, pricing plans)
Strong MS Office Excel and SAS skills preferred; Ability to build complex models. Expert skills in Excel, PowerPoint highly desired.
Ability to exchange ideas and convey complex information clearly and concisely, both verbally and in writing.
This is a range posting (grades 15 and 16). Compensation will be based on experience and location.

Benefits:
We value your hard work, integrity and commitment to positive change. In return for your service, it's our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits
Overview:
At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.
We're dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.",3.3,Liberty Mutual Insurance,"Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),2020-01-24
