,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Date
0,Principal Machine Learning Data Scientist,$100K-$162K (Glassdoor est.),"Summary


Our Boston inQbator is a hub of innovation, where we have set aside our brightest minds and dedicated our resources for solving tough healthcare problems and providing value to our corporate clients. We're committed to making a difference in healthcare and are looking for Machine Learning talent from all backgrounds, because diversity of thought solves problems!

We are seeking highly creative and motivated experienced data scientists with exceptional skills who will complement our growing team. inQbator's Natural Language Processing (NLP) platform coupled with large proprietary healthcare datasets and strategic vision of transforming decision making in healthcare require a state of the art machine learning platform. As a Principal Machine Learning (ML) Data Scientist, you will design, develop, prototype and scale machine learning experiments to automate clinical decision making. Employ a variety of algorithmic and statistical techniques, including deep learning, collaborative filtering, and other machine learning techniques to extract insights from structured and unstructured electronic health record data and other healthcare data sources. Design and apply statistical techniques to evaluate and monitor the outcomes of automated clinical decision making . Help evolve inQbator's NLP platform, combining input from clinicians and other domain experts with state of the art NLP techniques. Build data driven apps whose goals are to: translate data into intelligence, help transform the work of clinical decision making, quality reporting and pathway planning, and to help solve a variety of strategic business problems in healthcare. Assists business with causal inferences & observations providing data-driven business insights.

As a Principal, you will provide technology leadership, applying and leading others to apply the latest in Machine Learning technology. You will actively collaborate with team members in their analysis and design.

Minimum Experience Required
Bachelor’s degree in Computer Science or related field required.
Master’s degree in Computer Science strongly recommended
5+ years of industry experience involving machine learning for commercial production in a structured environment.
Required Skills
Machine Learning expertise
Ability to select appropriate models given a well defined problem / data set
Ability to conceptualize, validate, and improve upon features used within models
Ability to measure model performance appropriately and prevent over-fitting and other common modeling pitfalls.
Familiarity with industry tools, libraries and coding quality
High proficiency in Python
High proficiency writing SQL
Experience with Deep Learning and/or Natural Language Processing algorithms and tools a strong plus.
Experience with Java/C++ a strong plus.
Experience with big data frameworks (Hadoop, Spark, etc.) a plus.
Experience with healthcare data a plus.
“Can do” attitude: you are biased to-wards action and ready to speak your mind.
Excellent organizational and communication skills.
Our Company and What We Offer

Our Company and What We Offer:

eviCore healthcare is committed to making a positive impact on healthcare, and also making a positive impact on our employees. eviCore offers a variety of perks and benefits including, but not limited to:
Flexible scheduling and work/life balance with remote and work from home opportunities
3 weeks of PTO(starting) per year plus paid holidays
Education assistance, tuition reimbursement and professional certifications
Health, dental, vision, and life benefits with employer funded HSA
Comprehensive employee discount program, onsite fitness facilities, and smart casual dress code
Paid Volunteer Community Service Days
Ample opportunities for growth, advancement, and promotion
401k retirement plan with company match of 50% employee contributions up to 6%",3.6,eviCore healthcare,"Boston, MA","Bluffton, SC",1001 to 5000 employees,1992,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,2020-01-24
1,Data Scientist - Machine Learning Pipelines,$76K-$123K (Glassdoor est.),"Who We Are

At True Fit, we believe when it comes to fashion, it's all about the details.

True Fit's personalization platform is strategically leveraged by 250 global retail sites, representing 17,000 brands and 100 million registered users. Since 2010, we have raised $100M from top-tier venture capitalists and built the world's largest data collective connecting consumers with apparel and footwear they will love and keep.

As our data collective continues to grow, so does our team! Let's disrupt this $2 trillion industry together.

True Fit, named a Top Place to Work, is looking for a data scientist to work in our downtown Boston headquarters.

What we do

The Data Science@True Fit team helps shoppers find clothes and shoes they love and keep by providing great, personalized recommendations to our users. Our recommendation engines power our consumer facing products that are currently in the market and the exciting new products on our roadmap. We achieve this using an interesting dataset that includes billions of transactions, user registration data, product catalog information, images, text, and more.

What you will do

Data Science@True Fit is seeking a Data Scientist to join our Engines team and help develop and enhance our recommendation engines that provide shoppers with great recommendations and help retailers and brands serve their consumers. In this role, you will:
Prototype and build machine learning pipelines that train the models used in True Fit's recommendation engines
Work in teams to develop machine learning models to support and enhance our consumer facing products
Collaborate with the product and engineering teams to design and deliver data products and machine learning models into production
Build tools and metrics to understand and quantify the impact of True Fit's recommendation engines
Qualifications
Depth of experience solving data problems using quantitative tools, for example those acquired with a PhD or Masters plus several years of experience in a quantitative field (computer science, math, physics, computational biology; economics, psychology, or other quantitative social science; or related fields) and hands-on data experience
Experience designing and prototyping machine learning pipelines
Experience working with real data: ability to query using language such as SQL, strategies for handling noise, modeling using imperfect data
Experience writing programs to analyze data and solve problems. Experience with Python or willingness to learn. Knowledge of software design principles and best practices a plus.
Nice to have: Experience using data tools such as R, Pandas, or Spark
Why True Fit?

One size does not fit all in what you wear or your True Fit career. Everyone at True Fit has the opportunity to push their professional boundaries, while balancing personal ambitions.

Together we've built a tight-knit culture that's reflected in our Glassdoor reviews; ""Great people, cool product refreshing place to work everyone actually works together like a team, employees are all pro-active and genuinely take pride in their work growth potential plus culture management is approachable, mindful of their people opportunity to learn/work on new technology you are an integral part of the success of the company the work you are doing everyday really matters and makes a difference managers provide autonomy and trust you really innovative company, open to share ideas to make a better product great culture with the right vision.""

We believe that how we dress is an expression of who we are and the confidence we feel. As an EEO employer, we work to help all team members experience an inclusive, diverse and accepting work environment, so you can be True To You.",4.7,True Fit,"Boston, MA","Boston, MA",201 to 500 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,2020-01-24
2,Data Scientist - Personalization,$76K-$123K (Glassdoor est.),"Who We Are

At True Fit, we believe when it comes to fashion, it's all about the details.

True Fit's personalization platform is strategically leveraged by 250 global retail sites, representing 17,000 brands and 100 million registered users. Since 2010, we have raised $100M from top-tier venture capitalists and built the world's largest data collective connecting consumers with apparel and footwear they will love and keep.

As our data collective continues to grow, so does our team! Let's disrupt this $2 trillion industry together.

True Fit, named a Top Place to Work, is looking for a data scientist - personalization to work in our downtown Boston headquarters.

What we do

The Data Science@True Fit team helps shoppers find apparel and footwear they will love and keep by providing relevant, personalized recommendations to our users. Our recommendation engines power our consumer facing products that are currently in the market as well as the exciting new products on our roadmap. We achieve this using an interesting dataset that includes billions of transactions, user registration data, product catalog information, images, text, and more.

What you will do

Data Science@True Fit is seeking a data scientist to improve our understanding of our users and shoppers in order to provide shoppers with relevant recommendations and help retailers and brands serve their consumers. In this role you will
Contribute to the personalization team to improve understanding of True Fit users/shoppers and their size data and shopping preferences to power various consumer and client facing products and our internal understanding of how people shop
Collaborate with data scientists, product and engineering teams to design and deliver data products and machine learning models to our production environment
Build user profiles from data using some combination of the following: understanding of human behavior, user research, machine learning, statistics, math, etc.
Demonstrate impact of user features/modeling on recommendation quality
Qualifications
Depth of experience solving data problems using quantitative tools, for example those acquired with a PhD or Masters plus several years of experience in a quantitative field (computer science, math, physics, computational biology; economics, psychology, or other quantitative social science; or related fields) and hands-on data experience
Experience solving data problems using quantitative tools (for example, one of: statistics, machine learning, survey analysis, etc.)
Experience working with real data: ability to query using a language such as SQL and experience making sense of imperfect data
Ability to write a program. Experience with Python or willingness to learn
Why True Fit?

One size does not fit all in what you wear or your True Fit career. Everyone at True Fit has the opportunity to push their professional boundaries, while balancing personal ambitions.

Together we've built a tight-knit culture that's reflected in our Glassdoor reviews; ""Great people, cool product refreshing place to work everyone actually works together like a team, employees are all pro-active and genuinely take pride in their work growth potential plus culture management is approachable, mindful of their people opportunity to learn/work on new technology you are an integral part of the success of the company the work you are doing everyday really matters and makes a difference managers provide autonomy and trust you really innovative company, open to share ideas to make a better product great culture with the right vision.""

We believe that how we dress is an expression of who we are and the confidence we feel. As an EEO employer, we work to help all team members experience an inclusive, diverse and accepting work environment, so you can be True To You.",4.7,True Fit,"Boston, MA","Boston, MA",201 to 500 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,2020-01-24
3,"Data Scientist, Machine Learning",$110K-$181K (Glassdoor est.),"TripAdvisor's Machine Learning group works on machine learning problems and statistical analysis across several areas of the company. We take an entrepreneurial approach to our projects, identifying high-value opportunities and building solutions in a collaborative team environment.

We work on a diverse set of problems such as personalization, review fraud detection, search/navigation, machine vision, TV analytics, automated content curation, and customer relationship management (CRM). We use advanced techniques in natural language understanding, natural language processing (NLP), recommender systems, learn-to-rank models, statistical inference, social network analysis, and deep learning.

We are looking for experienced machine learning engineers and data scientists with a broad knowledge of machine learning techniques to design and implement machine learning solutions throughout the company.

You'll be working with a multidisciplinary team of smart people including data scientists, developers, and product managers. You'll have an amazing amount of data as raw material for your projects, including over 780 million collected reviews and opinions, 5 terabytes of log data per day, and 300,000 photos and videos per day. You will be testing your hypotheses and models online on our 455M monthly unique visitors. You must be comfortable communicating your approaches to project managers across the company.

Requirements:
3+ years of work experience
A Bachelors and/or Masters in Computer Science, Data Science, Machine Learning, Artificial Intelligence, Statistics, Operations Research or a similar field.
A passion for solving real-world problems with machine learning
Excellent communications skills
Experience solving problems in some of the following areas: natural language, machine vision, collaborative filtering, clustering, classification, regression, information retrieval, and statistical modeling.
Experience with ML tools such as R, Python scikit-learn, Keras, or Tensorflow
Knowledge and experience with SQL and relational databases
Knowledge of Hadoop, Hive, Redshift, Spark or other big data tools is a plus
Proficiency in a low-level programming language such as Java or C++
Strong computer science fundamentals, including data structures and complexity
Some great benefits and perks:
Free shuttle service to the HQ
On-site training and classes
Free lunch, snacks, and drinks every day
Pub and game room onsite with 7 beer taps & wine.
Free health coverage for singles
Generous vacation time & Summer Fridays
Excellent tuition reimbursement
TripAdvisor, the world's largest travel site*, enables travelers to unleash the full potential of every trip. With over 702 million reviews and opinions covering the world's largest selection of travel listings worldwide – covering approximately 7.7 million accommodations, airlines, experiences, and restaurants -- TripAdvisor provides travelers with the wisdom of the crowds to help them decide where to stay, how to fly, what to do and where to eat. TripAdvisor also compares prices from more than 200 hotel booking sites so travelers can find the lowest price on the hotel that's right for them. TripAdvisor-branded sites are available in 49 markets, and are home to the world's largest travel community of 490 million average monthly unique visitors**, all looking to get the most out of every trip.

TripAdvisor: Know better. Book better. Go better.

#LI-MM1",3.8,TripAdvisor,"Needham, MA","Needham, MA",1001 to 5000 employees,2000,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),2020-01-24
4,Cognitive/Machine Learning - Data Scientist,$60K-$105K (Glassdoor est.),"Description

The Cognitive/Machine Learning Professional 2 leverages large sets of structured and unstructured data to develop tactical and strategic insights. The Cognitive/Machine Learning Professional 2 work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action.

Responsibilities

Humanas Data Health and Analytics Team is seeking a Cognitive/Machine Learning Data Scientist.

This position collaborates with analytic and data teams to set objectives, approaches, and work plans. Researches and evaluates new analytical methodologies, approaches, and solutions. Develops and validates statistical forecasting models and tools. Interprets and communicates analytic results to analytical and non-analytical business partners and executive decision makers. Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Follows established guidelines/procedures.

This role will be based in Boston at Humana's new office - Studio H, located at 281 Summer Street in the Seaport District.

At Humana Studio H, we offer the expansive data and technology architecture needed to get things done. Were harnessing the power and potential of predictive modeling, artificial intelligence and machine learning to revolutionizeand forever impactthe way healthcare is delivered.

First year success factors:

•Develop machine learning, AI, and Deep Learning solutions to support our key business partners within the Retail and Employer Group Segments.
•The solutions developed will provide measureable value to our key business partners in the form of increase in efficiency (time and computationally), improved member experience, and return on investment.
•You are recognized as a team member who helps drive results for both the Enterprise Data and Analytics organization as well as our segment partners.
•You have developed effective partnerships with internal business partners and coworkers.

Required Qualifications

Master's degree in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related field

Working experience R or Python

1-5 years of professional experience leveraging large sets of structured and unstructured data to develop tactical and strategic insights

Experience developing and validating statistical forecasting models and tools

Experience interpreting and communicating analytic results to analytical and non-analytical business partners and executive decision makers

Clear oral and written communication skills

Flexible, dynamic personality who is able to work independently in a team environment

Preferred Qualifications

Healthcare or managed care experience

Demonstrated experience with SAS, QlikView, SQL, PL/SQL, MATLAB or similar statistical tools

Experience performing data management, mining, and manipulation along with analytics

Scheduled Weekly Hours

40",3.5,Humana,"Boston, MA","Louisville, KY",10000+ employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),2020-01-24
5,MAIDAP Data Scientist- Students and Recent Graduates,$102K-$138K (Glassdoor est.),"A new technology paradigm is emerging, one with an intelligent cloud and an intelligent edge. To foster Microsoft's leadership in this field, Microsoft has launched a ground-breaking program to develop the next generation of leaders in AI. Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and recent graduates from BS, MS, and PhD programs in Machine Learning or Data Science related fields. Over the course of two years, participants will work in interdisciplinary project teams to provide AI as a service to engineering teams across Microsoft and solve some of our most exciting and challenging AI problems. In addition, you will have mentors, exposure to leaders, and access to numerous AI data scientists, researchers and engineers across the company. After the program is completed, each participant will have the opportunity to work with one of the sponsoring Microsoft teams in Cambridge, MA or other Microsoft locations.
*Responsibilities**
+ Research, develop, and implement AI solutions in application projects for Microsoft's products and services.

+ Select and apply appropriate statistical and machine learning techniques to large-scale, high-dimensional data.

+ Integrate AI solutions into the overall product or service.

+ Stay current with the latest research and technology and communicate your knowledge throughout the organization.

+ Take responsibility for preparing data for analysis, review data preparation/ETL code and provide critical feedback on issues of data integrity.

+ Share knowledge by clearly articulating results and ideas to customers, managers, and key decision makers.

+ Up to 10% travel may be required.
*Qualifications**
+ Currently pursuing a degree or graduated within the last 12 months with a degree in the following fields: Electrical Engineering, Computer Science, Data Science, Statistics, or other related fields.

+ Prefer MS (or BS with 2+ years' experience)

+ Energized by creating AI solutions that can positively impact the work and lives of millions of people.

+ Strong passion for data-driven learning.

+ Excited by the prospect of working on a wide variety of datasets and AI applications, across many products and engineering teams.

+ Believe that data science is a team sport.

+ Love being an active member of a diverse and inclusive cohort.

+ Strong background in machine learning and/or statistics.

+ 1.5+ years' experience in probabilistic graphical models/Bayesian networks/deep learning/reinforcement learning/time series/active learning, or other modeling paradigms.

+ Experience in Python/R/Scala or similar

+ Research publications are a plus.

+ Excellent written and oral communication skills.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form at https://careers.microsoft.com/us/en/accommodationrequest .

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",4.2,Microsoft Corporation,"Cambridge, MA","Redmond, WA",10000+ employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),2020-01-24
6,Entry Level Data Scientist,$92K-$147K (Glassdoor est.),"Introduction
At IBM we have an amazing opportunity to transform the world with cognitive technology. By using the vast amounts of information available today to identify new patterns and make new discoveries, we are helping cities become smarter, hospitals transform patient care, financial institutions minimize risk, and pharmaceuticals find cures for rare diseases.

Data scientists work with enterprise leaders and key decision makers to solve business problems by preparing, analyzing, and understanding data to deliver insight, predict emerging trends, and provide recommendations to optimize results. Data scientists use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams.

Armed with data, modeling expertise, and analytic results, the data scientist communicates conclusions and recommendations to stakeholders in an organization's leadership structure. Business acumen is an important skill for data scientists to effectively communicate their findings to business leaders, data scientists need strong consulting, communication, visualization, and storytelling skills.

Your Role and Responsibilities
START DATES FOR THIS POSITION ARE IN 2020

Data Scientists are in demand across IBM's growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the worlds most complex problems there is no better place to grow your career!

What Youll Do as an Entry-Level Data Scientist:
You will implement and validate predictive models as well as create and maintain statistical models with a focus on big data.
You will be exposed to and incorporate a variety of statistical and machine learning techniques such as logistic regression, experimental design, generalized linear models, mixed modeling, CHAID/decision trees, neural networks and ensemble models.
Youll communicate with internal and external clients to understand business needs and provide analytical solutions.
You will use leading edge tools such as COGNOS, Watson Studio and Watson Machine Learning.
Youll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Who You Are:
You are great at solving problems, debugging, troubleshooting, and designing & implementing solutions to complex technical issues.
You thrive on teamwork and have excellent verbal and written communication skills.
You have strong technical and analytical abilities, a knack for driving impact and growth, and some experience with programming/scripting in a language such as Java or Python.
You have a basic understanding of statistical programming in a language such as R, SAS, or Python.
You have an interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies
Required Professional and Technical Expertise
Basic understanding of statistical programming in a language such as R, SAS, or Python.
Experience with programming/scripting in a language such as Java or Python.
Knowledge of statistical concepts such as regression, time series, mixed model, Bayesian, clustering, etc., to analyze data and provide insights.
Preferred Professional and Technical Expertise
Advanced knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.
About Business Unit
No matter where you work in IBM, you are making an impact. As an Early Professional with IBM, you will be taking on a key role with one of our industry-leading business units to work on the technology that is solving our most challenging problems and changing the way the world thinks.

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.7,IBM,"Boston, MA","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),2020-01-24
7,Python Data Scientist,$79K-$136K (Glassdoor est.),"Job Description
Python Data Scientist (Experience with data visualization tools such as Tableau, Qlik, GGplot, Shiny, PowerBI, etc. Required)

Boston, Massachusetts

6+ month's contract

IRG is looking for Python Data Scientist for one of its direct state clients in Boston, MA area.

Requirements
Excellent applied statistics skills, including descriptive statistics, sampling, classification, clustering analysis, linear, non-linear regression and time series, etc.
4+ years of experience with applying machine learning techniques and algorithms.
6+ years of experience with programming languages for real-world applications within an analytical framework; strong Python experience required.
3+ years of experience with data visualization tools such as Tableau, Qlik, GGplot, Shiny, PowerBI, etc.
Proficiency with tools such as SQL, Spark, Tensorflow, Keras, R, Java, etc.
Comfort with Unix/Linux command line interface
A degree in engineering, applied mathematics, or a related field; advanced degree preferred
Great communication skills; ability to translate complex analyses into interpretable results both visually and verbally
Intellectually curious and a critical thinker
Strong and demonstrated interest in public policy or public administration
Experience with Amazon Web Services (AWS) a plus
Apply at:

Please send your resume and a cover letter to Vikram at vsingh@irginc.net or jobs@irginc.net . You may call Vikram at 573-273-1014",4.0,"Information Resource group, Inc.","Boston, MA","Jefferson City, MO",1 to 50 employees,1998,Company - Private,Consulting,Business Services,$1 to $5 million (USD),2020-01-24
8,"Data Scientist, Machine Learning",$63K-$108K (Glassdoor est.),"bluebird bio is a company that puts patients and its people first.

We are a clinical-stage company committed to developing potentially transformative gene therapies for severe genetic diseases and T cell-based immunotherapies. The company aims to develop and bring to market the most advanced products based on the transformative potential of cell and gene therapy to provide patients hope for a better life in the face of limited or no long-term safe and effective treatment options.

We have been consistently voted one of Boston Business Journal's ""Best Places to Work"". You can expect to join a team of motivated, inquisitive scientists that recognize the value of working hard, but also do not take themselves too seriously.

The ML data scientist will join our data sciences team that uses advanced analytics and machine learning on clinical, molecular, manufacturing and other data to support bluebird's mission to recode for life. You will be part of a dynamic team and have the opportunity to bring robust and insightful data analytics across the organization.

You will:
Apply cutting-edge machine learning methods to solve complex, biomedical questions by integrating disparate data types including omics, clinical, imaging, text and RWE for specific business applications.
Use statistical methods, including inference, causal reasoning, NLP, machine learning and deep learning, to drive actionable insights or generate testable hypotheses.
Be an advocate for driving awareness, acceptance, and adoption of advanced analytics across the organization.
Communicate with stakeholders and senior management to iteratively refine the problem definition and to deliver results.
Interact with functional areas including IT to find new avenues for collaboration.
Qualifications:
PhD in computer science, biostatistics, computational biology or related quantitative field.
Required 2+ years industry or research experience in applying ML and/or statistical inference methods to high-dimensional datasets and communicating results to diverse audiences.
Expertise with R or Python data science libraries, SQL, Spark, code versioning, programmatic data visualization. Knowledge of deep learning frameworks is a plus.
Domain knowledge in one or more of the following is required: genomics (NGS), NLP, imaging (pathology or medical), real world EHR or epidemiological data, computational biology or immuno-oncology or severe genetic diseases.
Experience working on complex and dynamic projects, making decisions under uncertainty and dealing with shifting priorities.
Deep curiosity about emerging trends in AI/ML and molecular technologies, passion for tackling cancer and severe genetic disorders.
Follow bluebird bio's core values: b colorful, b co-operative, b yourself.",3.4,bluebird bio,"Cambridge, MA","Cambridge, MA",1001 to 5000 employees,2010,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),2020-01-24
9,Data Scientist- Machine Learning,-1,"Principal Data Scientist

USA and Canada (remote, minimal travel required)

BigR.io is a technology consulting firm empowering data to drive innovation and advanced analytics. We specialize in cutting-edge Big Data, Machine Learning, and Custom Software strategy, analysis, architecture, and implementation solutions. We are an elite group with MIT roots, shining when tasked with complex missions. Whether it's assembling mounds of data from a variety of sources, surfacing intelligence with Deep Learning, or building high-volume, highly-available systems, we consistently deliver.

With extensive domain knowledge, BigR.io's architects, engineers, and scientists design and build best-in-class solutions across a variety of verticals. This diverse industry exposure and our constant run-in with cutting-edge technology equips us with invaluable tools, strategies, and techniques. Our knowledge and horsepower bring innovative, cost-conscious, and extensible results to complex business challenges. We are creating a community of thought leadership and a culture that strives to learn, embrace, and invent new approaches to complex problems. Collaboration amongst like-minded individuals is contagious and we thrive on pushing the edge of the pattern.

About the job

Do you view the science of Machine Learning as a passion instead of just a job? If so, join our team of talented, high-caliber Data Scientists, Architects, and Engineers and work on the cutting-edge applications of Machine Learning. You will use your excellent knowledge of data structures, algorithms, and modern OOP, and your solid understanding of modern statistical data analysis techniques (such as Bayesian inference, Hidden Markov, and MCMC) to work on a myriad of real-world noisy datasets and NLP-based topic modeling and topic coherence.

You have:
An MS or PhD in Computer Science, Statistics, Physics, or any related Engineering field.
Strong experience with NLP.
Worked with image segmentation: Image Knowledge Graphs (IKGs).
Excellent knowledge of one or more of the following: Machine Learning, Signal Processing, Statistical Modeling, Time-Series Analysis, Optimization.
Good working knowledge of Java/Scala, Python, Matlab, and/or R.
Familiarity with Relational and Non-Relational databases (NoSQL).
Familiarity with cloud computing and big data technologies (Hadoop, Hive, Spark, Tensorflow,etc).
Your Experience:
Designed, built, and deployed Machine Learning algorithms for advanced analytics.
Performed exploratory data analyses and visualizations on multivariate data sets.
Worked with one of the well known neural network libraries such as TensorFlow, Theano, or Caffe.
Experience with NLP and unstructured data parsing.",-1,BigR.io,"Concord, MA","Boston, MA",51 to 200 employees,2013,Company - Private,Research & Development,Business Services,$10 to $25 million (USD),2020-01-24
